"userid","userenabled","title","district","facility","value","occupation","phone_present","biography_present"
2053,1,"Health Systems Specialist","5","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",t,t
2054,1,"","","","","",t,t
2055,1,"","","","","",t,t
2056,0,"","","","","",t,t
2057,0,"","","","","",t,t
2058,0,"","","","","",t,t
2059,0,"","","","","",t,t
2060,1,"","","","","",t,t
2061,0,"","","","","",t,t
2062,1,"VHA Primary Care Clinical Program Manager","","","","",f,t
2063,0,"","","","","",t,t
2064,0,"","","","","",t,t
2065,0,"","","","","",t,t
2066,0,"","","","","",t,t
2067,0,"","","","","",t,t
2068,1,"","","","","",t,t
2069,1,"","","","","",t,t
2070,1,"","","","","",t,t
2071,1,"","","","","",t,t
2072,0,"","","","","",t,t
2073,0,"","","","","",t,t
2074,1,"","","","","",t,t
2075,1,"","","","","",t,t
2076,0,"","","","","",t,t
2077,1,"","","","","",t,t
2078,1,"","","","","",t,t
2079,0,"","","","","",t,t
2080,0,"","","","","",t,t
2081,1,"","","","","",t,t
2082,1,"","","","","",t,t
2083,0,"","","","","",t,t
2084,0,"","","","","",f,f
2085,1,"","","","","",t,t
2086,1,"","","","","",t,t
2087,1,"","","","","",t,t
2088,1,"","","","","",t,t
2089,0,"","","","","",t,f
2090,1,"","","","","",t,t
2091,0,"","","","","",t,t
2092,0,"","","","","",t,t
2093,0,"","","","","",t,t
2094,1,"","","","","",t,t
2095,1,"","","","","",t,t
2096,1,"","","","","",t,t
2097,1,"","","","","",t,t
2098,1,"","","","","",t,t
2099,1,"","","","","",t,t
2100,0,"","","","","",t,f
2101,1,"","1","561A4","VHA – Administrative or clerical employee working in a clinical area (for example a Ward Secretary, Radiology Receptionist) (AES 40)","AES 40",f,t
2102,1,"","","","","",t,t
2103,1,"","","","","",t,t
2104,0,"","","","","",t,t
2105,1,"","","","","",t,t
2106,0,"","","","","",t,t
2107,0,"","","","","",t,t
2108,1,"","","","","",t,t
2109,0,"","","","","",t,t
2110,0,"","","","","",t,t
2111,1,"","","","","",t,t
2112,0,"","","","","",t,t
2113,1,"","","","","",t,t
2114,0,"","","","","",t,t
2115,1,"","","","","",t,t
2116,0,"","","","","",t,t
2117,0,"","","","","",t,t
2118,1,"","","","","",t,t
2119,1,"","","","","",t,t
2120,1,"","","","","",t,t
2121,0,"","","","","",t,t
2122,0,"","","","","",t,t
2123,0,"","","","","",t,t
2124,0,"","","","","",t,t
2125,1,"","","","","",t,t
2126,1,"","","","","",t,t
2127,1,"","","","","",t,t
2128,1,"","","","","",t,t
2129,0,"","","","","",t,t
2130,1,"","","","","",t,t
2131,1,"","","","","",t,t
2132,1,"","","","","",t,t
2133,1,"","","","","",t,t
2134,0,"","","","","",t,t
2135,1,"","","","","",t,t
2136,1,"","","","","",t,t
2137,1,"","","","","",t,t
2138,1,"","","","","",t,t
2139,1,"","","","","",t,t
2140,1,"","","","","",t,t
2141,0,"","","","","",t,t
2142,0,"","","","","",t,t
2143,0,"","","","","",t,t
2144,0,"","","","","",t,t
2145,0,"","","","","",t,f
2146,0,"","","","","",t,t
2147,1,"","","","","",t,t
2148,1,"","","","","",t,t
2149,1,"","","","","",t,t
2150,1,"","","","","",t,t
2151,0,"","","","","",t,t
2152,1,"","","","","",t,t
2153,1,"","","","","",t,t
2154,1,"","","","","",t,t
2155,0,"","","","","",f,f
2156,1,"","","","","",t,t
2157,1,"","","","","",t,t
2158,0,"","","","","",t,t
2159,1,"","","","","",t,t
2160,1,"","","","","",t,t
2161,0,"","","","","",t,t
2162,1,"","","","","",t,t
2163,0,"","","","","",t,t
2164,0,"","","","","",t,t
2165,0,"","","","","",t,t
2166,1,"","","","","",t,t
2167,1,"","","","","",t,t
2168,1,"","","","","",t,t
2169,1,"","","","","",t,t
2170,1,"","","","","",t,t
2171,0,"","","","","",t,t
2172,0,"","","","","",t,t
2173,0,"","","","","",t,t
2174,1,"","","","","",t,t
2175,0,"","","","","",t,t
2176,1,"","","","","",t,t
2177,1,"","","","","",t,t
2178,1,"","","","","",t,t
2179,1,"","","","","",t,t
2180,1,"","","","","",t,t
2181,1,"","","","","",t,t
2182,1,"","","","","",t,t
2183,1,"","","","","",t,t
2184,1,"","","","","",t,t
2185,0,"","","","","",t,t
2186,0,"","","","","",t,t
2187,1,"","","","","",t,t
2188,1,"","","","","",t,t
2189,1,"","","","","",t,t
2190,1,"","","","","",t,t
2191,0,"","","","","",t,t
2192,1,"","","","","",t,t
2193,0,"","","","","",t,t
2194,1,"","","","","",t,t
2195,0,"","","","","",t,t
2196,0,"","","","","",t,t
2197,1,"","","","","",t,t
2198,1,"","","","","",t,t
2199,1,"","","","","",t,t
2200,0,"","","","","",f,f
2201,1,"","","","","",t,t
2202,1,"","","","","",t,t
2203,1,"","","","","",t,t
2204,0,"","","","","",t,t
2205,0,"","","","","",t,t
2206,1,"","","","","",t,t
2207,1,"","","","","",t,t
2208,0,"","","","","",t,t
2209,0,"","","","","",t,t
2210,0,"","","","","",t,t
2211,1,"","","","","",t,t
2212,1,"","","","","",t,t
2213,1,"","","","","",t,t
2214,0,"","","","","",t,f
2215,0,"","","","","",t,t
2216,1,"","","","","",t,t
2217,0,"","","","","",t,t
2218,1,"","","","","",t,t
2219,0,"","","","","",t,f
2220,0,"","","","","",t,t
2221,1,"","","","","",t,t
2222,1,"","","","","",t,t
2223,1,"","","","","",t,t
2224,0,"","","","","",t,f
2225,1,"","","","","",t,t
2226,0,"","","","","",t,t
2227,1,"","","","","",t,t
2228,0,"","","","","",t,t
2229,0,"Clinical Nurse Leader","","","","",f,t
2230,1,"","","","","",t,t
2231,1,"","","","","",t,t
2232,0,"","","","","",t,t
2233,1,"","","","","",t,t
2234,1,"","","","","",t,t
2235,0,"","","","","",t,t
2236,0,"","","","","",t,t
2237,0,"","","","","",t,t
2238,0,"","","","","",t,t
2239,1,"","","","","",t,t
2240,1,"","","","","",t,t
2241,0,"","","","","",t,t
2242,0,"","","","","",t,t
2243,0,"","","","","",t,t
2244,0,"","","","","",t,t
2245,0,"","","","","",t,f
2246,1,"","","","","",t,t
2247,1,"","","","","",t,t
2248,1,"","","","","",t,t
2249,0,"","","","","",t,t
2250,1,"","","","","",t,t
2251,0,"","","","","",t,t
2252,0,"","","","","",t,t
2253,1,"","","","","",t,t
2254,1,"","","","","",t,t
2255,1,"","","","","",t,t
2256,1,"","","","","",t,t
2257,1,"","","","","",t,t
2258,0,"","","","","",t,t
2259,0,"","","","","",t,t
2260,0,"","","","","",t,t
2261,0,"","","","","",t,t
2262,0,"","","","","",f,f
2263,0,"","","","","",t,t
2264,0,"","","","","",t,t
2265,0,"","","","","",t,t
2266,0,"","","","","",t,t
2267,1,"","","","","",t,t
2268,0,"","","","","",t,t
2269,0,"","","","","",t,t
2270,0,"","","","","",t,t
2271,0,"","","","","",t,f
2272,1,"","","","","",t,t
2273,1,"","","","","",t,t
2274,0,"","","","","",t,t
2275,0,"","","","","",t,t
2276,0,"","","","","",t,t
2277,1,"","","","","",t,t
2278,0,"","","","","",t,t
2279,1,"","","","","",t,t
2280,0,"","","","","",t,f
2281,0,"","","","","",t,t
2282,1,"","","","","",t,f
2283,0,"","","","","",t,t
2284,0,"","","","","",t,t
2285,1,"","","","","",t,t
2286,1,"","","","","",t,t
2287,1,"","","","","",t,t
2288,1,"","","","","",t,t
2289,0,"","","","","",t,t
2290,0,"","","","","",t,t
2291,0,"","","","","",t,t
2292,1,"Public Affairs Officer","1","561","","",f,t
2293,1,"","","","","",f,f
2294,0,"","","","","",t,t
2295,1,"","","","","",t,t
2296,0,"","","","","",f,f
2298,1,"","","","","",t,t
2299,0,"","","","","",t,f
2300,0,"","","","","",t,t
2301,0,"","","","","",t,t
2302,1,"","","","","",t,t
2303,1,"","","","","",t,t
2304,0,"","","","","",t,f
2305,0,"","","","","",t,t
2306,0,"","","","","",t,t
2307,0,"Nursing","5","664GC","","",t,t
2308,0,"","","","","",t,t
2309,1,"","","","","",t,t
2310,1,"","","","","",t,t
2311,1,"","","","","",t,t
2312,0,"","","","","",t,t
2313,1,"","","","","",t,t
2314,1,"","","","","",t,t
2315,0,"","","","","",t,t
2316,1,"","","","","",t,t
2317,0,"","","","","",t,t
2318,0,"","","","","",t,t
2319,1,"","","","","",t,t
2320,1,"","","","","",t,t
2321,1,"","","","","",t,t
2322,0,"","","","","",t,t
2323,1,"","","","","",t,t
2324,1,"","","","","",t,t
2325,0,"","","","","",t,t
2326,1,"","","","","",t,t
2327,1,"","","","","",t,t
2328,0,"","","","","",t,t
2329,1,"","5","618","VHA – Physician: Primary Care (AES 9)","AES 9",f,f
2330,1,"","","","","",t,t
2331,1,"","","","","",t,t
2332,1,"","","","","",t,t
2333,0,"","","","","",t,t
2334,0,"","","","","",t,t
2335,1,"","","","","",t,t
2336,1,"","","","","",t,t
2337,1,"","","","","",t,t
2338,0,"","","","","",t,t
2339,1,"","","","","",t,t
2340,0,"","","","","",t,t
2341,1,"","","","","",t,t
2342,1,"","","","","",t,t
2343,1,"","","","","",t,t
2344,0,"","","","","",t,t
2345,1,"","","","","",t,t
2346,1,"","","","","",t,t
2347,1,"","","","","",t,t
2348,1,"","","","","",t,t
2349,0,"","","","","",t,t
2350,0,"","","","","",t,t
2351,1,"","","","","",t,t
2352,1,"","","","","",t,t
2353,0,"","","","","",f,f
2354,1,"","","","","",t,t
2355,1,"","","","","",t,t
2356,1,"","","","","",t,t
2357,1,"","","","","",t,t
2358,1,"","","","","",t,t
2359,1,"","","","","",t,t
2360,1,"","","","","",t,t
2361,0,"","","","","",t,t
2362,0,"","","","","",t,t
2363,1,"","","","","",t,t
2364,1,"","","","","",t,t
2365,0,"","","","","",t,t
2366,0,"","","","","",t,t
2367,1,"","","","","",t,t
2368,0,"","","","","",t,t
2369,1,"","","","","",t,t
2370,0,"","","","","",t,t
2371,1,"","","","","",t,t
2372,1,"","","","","",t,t
2373,1,"","","","","",t,t
2374,1,"","","","","",t,t
2375,1,"","","","","",t,t
2376,0,"","","","","",t,t
2377,0,"","","","","",t,t
2378,0,"Section Chief MV2, Medical Director Women's Health","","","","",f,t
2379,1,"","","","","",t,t
2380,1,"","","","","",t,t
2381,0,"","","","","",t,t
2382,1,"","","","","",t,t
2383,1,"","","","","",t,t
2384,0,"","","","","",t,t
2385,1,"","","","","",t,t
2386,1,"","","","","",t,t
2387,1,"","","","","",t,t
2388,1,"","","","","",t,t
2389,1,"","","","","",t,t
2390,1,"","","","","",t,t
2391,1,"","","","","",t,t
2392,0,"","","","","",f,t
2393,1,"","","","","",t,t
2394,1,"","","","","",t,t
2395,1,"","","","","",t,t
2396,0,"","","","","",t,t
2397,0,"","","","","",t,t
2398,1,"","","","","",t,t
2399,1,"","","","","",t,t
2400,1,"","","","","",t,t
2401,1,"","","","","",t,t
2402,1,"","","","","",t,t
2403,1,"","","","","",t,t
2404,0,"","","","","",t,t
2405,1,"","","","","",t,t
2406,0,"","","","","",t,t
2407,0,"","","","","",t,t
2408,0,"","","","","",t,t
2409,0,"","","","","",f,t
2410,1,"","","","","",t,t
2411,1,"","","","","",t,t
2412,0,"","","","","",t,t
2413,0,"","","","","",t,t
2414,0,"","","","","",t,t
2415,1,"","","","","",t,t
2416,0,"","","","","",t,t
2417,0,"","","","","",t,t
2418,0,"","","","","",t,t
2419,1,"","","","","",t,t
2420,1,"","","","","",t,t
2421,0,"","","","","",t,t
2422,1,"","","","","",t,t
2423,1,"","","","","",t,t
2424,1,"","","","","",t,t
2425,1,"","","","","",t,t
2426,1,"","","","","",t,t
2427,1,"","","","","",t,t
2428,1,"","","","","",t,t
2429,1,"","","","","",t,t
2430,1,"","","","","",t,t
2431,1,"","","","","",t,t
2432,0,"","","","","",t,t
2433,0,"","","","","",t,t
2434,1,"","","","","",t,t
2435,0,"","","","","",t,t
2436,1,"","","","","",t,t
2437,0,"","","","","",t,t
2438,1,"","","","","",t,t
2439,1,"","","","","",t,t
2440,1,"","","","","",t,t
2441,1,"","","","","",t,t
2442,1,"","","","","",t,t
2443,0,"","","","","",t,t
2444,1,"","","","","",t,t
2445,1,"","","","","",t,t
2446,1,"","","","","",t,t
2447,1,"","","","","",t,t
2448,1,"","","","","",t,t
2449,1,"","","","","",t,t
2450,1,"","","","","",t,t
2451,1,"","","","","",t,t
2452,0,"","","","","",t,t
2453,0,"","","","","",t,t
2454,0,"","","","","",t,t
2455,1,"","","","","",t,t
2456,0,"","","","","",t,t
2457,1,"","","","","",t,t
2458,1,"Medical Support Assistant","","","","",f,t
2459,0,"","","","","",t,t
2460,0,"","","","","",t,t
2461,1,"","","","","",t,t
2462,1,"","","","","",t,t
2463,0,"","","","","",f,t
2464,0,"","","","","",t,t
2465,1,"","","","","",t,t
2466,1,"","","","","",t,t
2467,1,"","","","","",t,t
2468,0,"","","","","",t,f
2469,0,"","","","","",t,t
2470,1,"","","","","",t,t
2471,1,"","","","","",t,t
2472,1,"","","","","",t,t
2473,0,"","","","","",t,t
2474,1,"","","","","",t,t
2475,1,"","","","","",t,t
2476,1,"","","","","",t,t
2477,1,"","","","","",t,t
2478,0,"","","","","",t,f
2479,1,"","","","","",t,t
2480,1,"","","","","",t,t
2481,0,"","","","","",t,t
2482,0,"","","","","",t,t
2483,1,"","","","","",t,t
2484,1,"","","","","",t,t
2485,1,"","","","","",t,t
2486,0,"","","","","",t,t
2487,1,"","","","","",t,t
2488,1,"","","","","",t,t
2489,1,"LVN","","","","",t,t
2490,0,"","","","","",t,t
2491,1,"MSN, RN","","","","",f,f
2492,1,"","","","","",t,t
2493,0,"","","","","",t,t
2494,1,"","","","","",t,t
2495,0,"","","","","",t,t
2496,1,"","","","","",t,t
2497,1,"","","","","",t,t
2498,1,"","","","","",t,t
2499,1,"","","","","",t,t
2500,1,"","","","","",t,t
2501,1,"","","","","",t,t
2502,0,"","","","","",t,t
2503,0,"","","","","",t,t
2504,1,"","","","","",t,t
2505,1,"","","","","",t,t
2506,1,"","","","","",t,t
2507,1,"","","","","",t,t
2508,1,"","","","","",t,t
2509,1,"","","","","",t,t
2510,1,"","","","","",t,t
2511,0,"","","","","",t,t
2512,0,"","","","","",t,t
2513,1,"","","","","",t,t
2514,0,"","","","","",t,t
2515,1,"","","","","",t,t
2516,0,"","","","","",t,t
2517,1,"","","","","",t,t
2518,0,"","","","","",t,t
2519,0,"","","","","",t,t
2520,0,"","","","","",t,t
2521,1,"","","","","",t,t
2522,1,"","","","","",t,t
2523,0,"","","","","",t,t
2524,0,"","","","","",t,t
2525,1,"","","","","",t,t
2526,1,"","","","","",t,t
2527,0,"","","","","",t,t
2528,1,"","","","","",t,t
2529,1,"","","","","",t,t
2530,1,"","","","","",t,t
2531,0,"","","","","",t,t
2532,0,"","","","","",t,t
2533,1,"","","","","",t,t
2534,0,"","","","","",t,t
2535,1,"","","","","",t,t
2536,1,"","","","","",t,t
2537,0,"","","","","",t,t
2538,0,"","","","","",t,t
2539,0,"","","","","",t,t
2540,1,"","","","","",t,t
2541,0,"","","","","",t,t
2542,0,"","","","","",t,t
2543,0,"","","","","",t,t
2544,1,"","","","","",t,t
2545,1,"","","","","",t,t
2546,1,"","","","","",t,t
2547,1,"","","","","",t,t
2548,1,"","","","","",t,t
2549,0,"","","","","",t,t
2550,0,"","","","","",f,f
2551,0,"","","","","",t,t
2552,1,"","","","","",t,t
2553,1,"","","","","",t,t
2554,1,"","","","","",t,t
2555,1,"","","","","",t,t
2556,0,"","","","","",t,f
2557,1,"","","","","",t,t
2558,1,"","","","","",t,t
2559,0,"","","","","",t,f
2560,0,"","","","","",f,t
2561,0,"","","","","",t,f
2562,1,"Program/Management Analyst - Primary Care","5","664","VBA – Management & Program Analyst (AES 346)","AES 346",f,t
2563,0,"","","","","",t,t
2564,0,"","","","","",t,t
2565,0,"","","","","",t,t
2567,0,"","","","","",t,t
2568,0,"","","","","",t,t
2569,1,"","","","","",t,t
2570,1,"","","","","",f,f
2571,1,"","","","","",f,f
2572,0,"","","","","",t,t
2573,1,"","","","","",t,t
2574,1,"","","","","",t,t
2575,1,"MAO","5","664","","",t,t
2576,0,"","","","","",t,t
2577,0,"","","","","",t,t
2578,1,"MHA, BSN, BA","5","664","","",t,t
2579,0,"","","","","",t,t
2580,1,"","","","","",f,f
2581,1,"","","","","",t,t
2582,1,"","","","","",t,t
2583,1,"","","","","",t,t
2584,0,"","","","","",t,t
2585,1,"","","","","",t,t
2586,0,"","","","","",t,t
2587,0,"","","","","",t,t
2588,0,"","","","","",t,t
2589,0,"","","","","",t,t
2590,0,"","","","","",t,t
2591,1,"","","","","",t,t
2592,0,"","","","","",t,t
2593,0,"","","","","",t,t
2594,0,"","","","","",t,t
2595,1,"","","","","",t,t
2596,1,"","","","","",t,t
2597,0,"","","","","",t,t
2598,0,"","","","","",t,t
2599,0,"","","","","",t,t
2600,0,"","","","","",f,f
2601,1,"","","","","",t,t
2602,0,"","","","","",t,t
2603,1,"","","","","",t,t
2604,0,"","","","","",t,t
2605,0,"","","","","",t,t
2606,0,"","","","","",t,t
2607,0,"","","","","",t,t
2608,1,"","","","","",t,t
2609,1,"","","","","",t,t
2610,0,"","","","","",t,t
2611,0,"","","","","",t,t
2612,0,"","","","","",t,t
2613,1,"","","","","",t,t
2614,0,"","","","","",t,t
2615,1,"","","","","",t,t
2616,0,"","","","","",t,t
2617,0,"","","","","",t,t
2618,1,"","","","","",t,t
2619,1,"","","","","",t,f
2620,0,"","","","","",t,t
2621,1,"","","","","",t,t
2622,0,"","","","","",t,t
2623,0,"","","","","",t,t
2624,0,"","","","","",t,t
2625,0,"","","","","",t,t
2626,1,"","","","","",t,t
2627,0,"","","","","",t,t
2628,0,"","","","","",t,t
2629,1,"","","","","",t,t
2630,0,"","","","","",t,f
2631,1,"","","","","",t,t
2632,1,"","","","","",t,t
2633,1,"","","","","",t,t
2634,1,"","","","","",t,t
2635,1,"","","","","",t,t
2636,1,"","","","","",t,t
2637,1,"","","","","",t,t
2638,0,"","","","","",t,t
2639,1,"","","","","",t,t
2640,1,"","","","","",t,t
2641,1,"","","","","",t,t
2642,1,"","","","","",f,f
2643,1,"","","","","",t,f
2645,0,"Registered Nurse","5","664","","",t,t
2647,0,"LVN","5","664","","",t,t
2648,0,"","","","","",t,t
2649,0,"","","","","",f,t
2650,1,"","","","","",t,t
2651,1,"","","","","",t,t
2652,1,"","","","","",t,t
2653,1,"","","","","",t,t
2654,0,"","","","","",f,t
2655,0,"","","","","",t,t
2656,1,"","","","","",t,t
2657,1,"","","","","",t,t
2658,0,"","","","","",t,t
2659,0,"","","","","",t,t
2660,0,"","","","","",t,t
2661,0,"","","","","",t,t
2662,1,"","","","","",t,t
2663,0,"","","","","",t,t
2664,0,"","","","","",t,t
2665,0,"","","","","",f,t
2666,0,"","","","","",f,f
2667,1,"","","","","",t,t
2668,0,"","","","","",t,t
2669,1,"","","","","",t,t
2670,0,"","","","","",t,t
2671,0,"","","","","",t,t
2672,0,"","","","","",t,t
2673,0,"","","","","",t,t
2674,1,"","","","","",t,t
2675,1,"","","","","",t,t
2676,1,"","","","","",t,t
2677,0,"","","","","",t,t
2678,0,"","","","","",t,t
2679,0,"","","","","",t,t
2680,0,"","","","","",t,t
2681,0,"","","","","",t,t
2682,0,"","","","","",t,t
2683,0,"","","","","",t,f
2684,1,"","","","","",t,t
2685,0,"","","","","",t,t
2686,1,"","","","","",t,t
2687,0,"","","","","",t,t
2688,0,"","","","","",t,t
2689,0,"","","","","",f,f
2690,0,"","","","","",t,t
2691,0,"","","","","",t,t
2692,0,"","","","","",t,t
2693,0,"","","","","",t,t
2694,0,"","","","","",f,f
2695,0,"","","","","",t,t
2696,0,"","","","","",t,t
2697,0,"","","","","",t,t
2698,0,"","","","","",t,t
2699,1,"","","","","",t,t
2700,0,"","","","","",t,t
2701,1,"","","","","",t,t
2702,0,"","","","","",t,t
2703,1,"","","","","",t,t
2704,1,"","","","","",t,t
2705,1,"","","","","",t,t
2706,0,"","","","","",t,t
2707,1,"","","","","",t,t
2708,1,"","","","","",t,t
2709,0,"","","","","",t,t
2710,0,"","","","","",t,t
2711,1,"","","","","",t,t
2712,0,"","","","","",t,t
2713,1,"","","","","",t,t
2714,0,"","","","","",t,t
2715,0,"","","","","",t,t
2716,0,"","","","","",t,t
2717,0,"","","","","",t,t
2718,0,"dietitian","4","674BY","","",f,f
2719,0,"","","","","",t,t
2720,0,"","","","","",t,t
2721,0,"","","","","",t,t
2722,1,"","","","","",t,t
2723,0,"","","","","",t,t
2724,0,"","","","","",t,t
2725,1,"","","","","",t,t
2726,1,"","","","","",t,t
2727,0,"","","","","",t,f
2728,0,"","","","","",t,t
2729,1,"","","","","",t,t
2730,0,"","","","","",t,t
2731,1,"","","","","",t,t
2732,1,"","","","","",t,t
2733,0,"","","","","",t,t
2734,0,"","","","","",t,t
2735,0,"","","","","",t,t
2736,0,"","","","","",t,t
2737,1,"","","","","",t,t
2738,1,"","","","","",t,t
2739,1,"","","","","",t,t
2740,0,"","","","","",t,t
2741,1,"","","","","",t,t
2742,0,"","","","","",t,t
2743,0,"","","","","",t,t
2744,0,"","","","","",t,t
2745,0,"","","","","",t,t
2746,0,"","","","","",t,t
2747,0,"","","","","",t,t
2748,0,"","","","","",t,t
2749,0,"","","","","",t,t
2750,1,"","","","","",t,t
2751,1,"","","","","",t,t
2752,0,"","","","","",t,t
2753,0,"","","","","",t,t
2754,1,"","","","","",t,t
2755,0,"","","","","",t,t
2756,1,"","","","","",t,t
2757,1,"","","","","",t,t
2758,1,"","","","","",t,t
2759,1,"","","","","",t,t
2760,0,"","","","","",t,t
2761,0,"","","","","",t,t
2762,0,"","","","","",t,f
2763,1,"","","","","",f,f
2764,0,"","","","","",t,t
2765,1,"","","","","",t,t
2766,0,"","","","","",t,t
2767,0,"","","","","",t,t
2768,0,"","","","","",t,t
2769,0,"","","","","",t,t
2770,1,"","","","","",t,t
2771,0,"","","","","",t,t
2772,1,"","","","","",t,t
2773,1,"","","","","",t,t
2774,1,"","","","","",t,t
2775,0,"","","","","",t,t
2776,1,"","","","","",t,t
2777,1,"","","","","",t,t
2778,0,"","","","","",t,t
2779,0,"","","","","",t,t
2780,0,"","","","","",t,t
2781,1,"","","","","",t,t
2782,1,"HPDP Program Manager, MBA, RD/LD","","","","",f,t
2783,1,"","","","","",t,t
2784,1,"","","","","",t,t
2785,1,"","","","","",t,t
2786,1,"","","","","",t,t
2787,1,"","","","","",t,t
2788,1,"","","","","",t,t
2790,0,"","","","","",t,t
2791,0,"","","","","",t,t
2792,0,"","","","","",t,t
2793,0,"","","","","",t,f
2794,0,"","","","","",t,t
2795,0,"","","","","",t,t
2805,0,"","","","","",t,t
2806,1,"Psychologist","1","0700V","VHA – Psychologist (AES 30)","AES 30",t,t
2808,1,"HBPC Program Director","4","674","VHA – RN: Level III (AES 23)","AES 23",f,t
2809,1,"","","","","",t,t
2810,1,"","","","","",t,t
2811,0,"","","","","",t,t
2812,1,"","","","","",t,t
2813,0,"","","","","",t,t
2814,1,"","","","","",t,t
2815,0,"","","","","",t,t
2816,0,"","","","","",t,t
2817,1,"","","","","",t,t
2818,1,"","","","","",t,t
2819,0,"","","","","",t,t
2820,1,"","","","","",t,t
2821,1,"","","","","",t,t
2822,1,"","","","","",t,t
2823,1,"","","","","",t,t
2824,1,"","","","","",t,t
2825,1,"","","","","",t,t
2826,0,"","","","","",t,t
2827,0,"","","","","",t,t
2828,0,"","","","","",t,t
2829,0,"","","","","",t,t
2830,1,"","","","","",t,t
2831,0,"","","","","",t,t
2832,1,"","","","","",t,t
2833,0,"","","","","",t,t
2834,1,"","","","","",t,t
2835,0,"","","","","",t,t
2836,1,"","","","","",t,t
2837,0,"","","","","",f,t
2839,0,"Supervisory Medical Support Assistant","5","664","","",f,t
2847,1,"","","","","",t,t
2848,0,"","","","","",f,t
2849,0,"","","","","",t,t
2850,1,"","","","","",t,t
2851,1,"","","","","",t,t
2852,0,"","","","","",t,t
2853,1,"","","","","",t,t
2854,1,"","","","","",t,t
2857,1,"Acting Principal Deputy Under Secretary for Health (10A), Veterans Health Administration","1","101","VHA – Administrative employee at or above the GS-15 and Title 38 equivalent level including members of facility, VISN, and CO program office senior leadership teams (AES 53)","AES 53",f,f
2858,1,"","","","","",t,t
2859,0,"","","","","",t,f
2860,0,"","","","","",t,t
2861,0,"","","","","",t,t
2862,1,"Project Manager","1","101","VACO – Project Manager (AES 433)","AES 433",f,t
2863,1,"Project Manager","","","","",t,t
2864,1,"Project Manager","4","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,t
2865,1,"Project Manager","1","101","VACO – Program Manager (AES 431)","AES 431",f,t
2866,1,"Project Manager","2","101","VHA – Other administrative, technical, professional or clerical employee at GS-1 through GS–14","GS14",f,t
2867,1,"Project Manager","","","","",t,t
2868,1,"Project Manager","1","101","VACO – Project Manager (AES 433)","AES 433",f,t
2869,0,"Project Manager","","","","",t,t
2870,1,"Senior Medical Advisor and Initiative Lead, VHA","1","101","","",f,f
2871,1,"","","","","",t,t
2872,1,"","","","","",f,t
2873,0,"","","","","",f,f
2874,1,"","","","","",t,t
2875,0,"","","","","",t,t
2876,0,"","","","","",t,t
2877,1,"","","","","",t,t
2878,1,"","","","","",t,t
2879,0,"","","","","",t,t
2880,0,"","","","","",t,t
2881,1,"","","","","",t,t
2882,0,"","","","","",t,t
2883,1,"","","","","",t,t
2884,1,"","","","","",t,t
2885,1,"","","","","",t,t
2886,1,"","","","","",t,t
2887,1,"","","","","",t,t
2888,1,"Ethics Policy Consultant / Clinical Psychologist","","","","",f,t
2889,1,"","","","","",t,t
2890,1,"","","","","",t,t
2891,0,"","","","","",t,f
2892,0,"","","","","",t,t
2893,1,"","","","","",t,t
2894,1,"","","","","",t,t
